Store Number,Annual Revenue,Annual Operational Costs,Median Income,Format,Location Name,Mean Age,Staff Friendliness Index,Traffic Busyness Index
1000,273683.31,177962.39,63800,Drive-thru,Emmerthorne,31,9.37,4.77
1001,221680.56,125477.09,68200,Drive-thru,Wychlow,36,5.0,5.48
1002,302702.35,165152.98,58700,Drive-thru,Alddleley,35,1.55,5.88
1003,225227.31,139547.12,59700,Drive-thru,Pendleham,37,9.23,4.45
1004,301930.62,154345.57,76300,Drive-thru,Siringport,37,8.15,7.79
1005,229415.23,104307.57,70500,Drive-thru,Hurstbrook,31,8.91,6.33
1006,287945.14,189013.76,74100,Drive-thru,Cheddenthorne,42,9.73,5.18
1007,311841.35,163990.94,82300,Drive-thru,Skellerseyworth,43,6.02,6.04
1008,284804.27,177098.45,61900,Drive-thru,Bootwang,40,3.06,6.22
1009,311775.96,136493.0,88700,Drive-thru,Warby,37,7.05,6.58
1010,314612.9,185145.61,64900,Drive-thru,Cookchester,44,7.53,5.24
1011,263057.69,103609.26,90600,Drive-thru,Emslake,43,2.22,7.41
1012,190138.28,131350.63,60500,Drive-thru,Wolvendrensthorne,22,9.33,4.8
1013,301403.83,156218.0,74200,Drive-thru,Hamcombe,35,7.65,6.82
1014,218663.33,120861.08,65200,Drive-thru,Hampenby,36,6.84,6.05
1015,376917.51,215160.05,79100,Drive-thru,Abbingstanwang,38,1.38,6.34
1016,269593.68,206437.81,53500,Drive-thru,Waltbaston,30,1.36,6.55
1017,347997.15,184644.98,81400,Drive-thru,Ashwick,45,3.37,6.25
1018,335599.59,198271.28,74500,Drive-thru,Childenlake,46,8.35,5.99
1019,290073.9,184106.36,63100,Drive-thru,Casthorne,24,5.67,6.5
1020,333254.77,165035.93,83300,Drive-thru,Camlake,53,2.61,6.24
1021,297065.26,132326.32,79800,Drive-thru,Horndlecombe,48,1.8,6.85
1022,280266.0,191708.68,47300,Drive-thru,Skeldon,31,6.29,4.87
1023,290982.28,171248.04,64800,Drive-thru,Falden,34,2.78,4.49
1024,215980.12,80624.01,76800,Drive-thru,Enscester,34,2.18,7.36
1025,244041.74,109180.15,71100,Drive-thru,Suddingringbridge,39,7.19,5.73
1026,295736.04,116631.03,93700,Drive-thru,Prestwell,56,4.38,7.88
1027,244954.73,127109.95,69800,Drive-thru,Egavon,31,6.86,6.68
1028,321970.75,207960.47,65100,Drive-thru,Ablow,32,4.92,6.69
1029,286795.87,160455.04,64400,Drive-thru,Darthead,33,7.27,6.2
1030,238202.8,97681.33,72200,Drive-thru,Warwold,38,4.04,6.54
1031,284649.72,198131.75,69200,Drive-thru,Elmsdendon,32,8.89,6.54
1032,360443.99,213790.68,78000,Drive-thru,Sunderhall,58,3.62,6.19
1033,183718.98,83092.62,59700,Drive-thru,Hurstchester,26,9.34,6.92
1034,177263.7,86753.68,67200,Drive-thru,Pendingmansford,33,9.31,6.39
1035,286685.43,195996.54,66200,Drive-thru,Rockdown,20,5.01,4.05
1036,206155.91,83345.79,66500,Drive-thru,Pentree,51,9.05,6.54
1037,243924.39,111436.79,69100,Drive-thru,Falseysmith,46,3.87,6.47
1038,284573.25,154097.96,78200,Drive-thru,Chiltree,29,2.44,6.62
1039,184259.44,80878.88,64900,Drive-thru,Melberby,30,1.85,4.86
1040,242543.08,114754.97,66100,Drive-thru,Sirerberey,48,4.02,5.94
1041,277131.57,205683.39,67300,Drive-thru,Eggensdown,28,4.89,5.83
1042,235138.71,179681.36,57400,Drive-thru,Pendlesmoor,30,7.42,5.07
1043,285367.32,188548.2,57600,Drive-thru,Clerechester,24,3.93,4.84
1044,273667.58,172003.23,61600,Drive-thru,Canden,38,1.89,6.11
1045,323218.46,215259.19,68200,Drive-thru,Caswold,24,6.77,5.89
1046,185274.0,104511.49,71000,Drive-thru,Sod-under-Lake,36,8.22,5.96
1047,340627.48,194724.56,76300,Drive-thru,Hampingthorne,42,3.18,6.01
1048,335947.96,206099.54,69500,Drive-thru,Ketterdenden,33,4.89,5.77
1049,169887.11,92297.77,62600,Drive-thru,Soddlemerthorne,24,5.82,4.85
1050,227476.3,129802.29,57200,Drive-thru,Edgberdon,27,6.03,6.7
1051,320668.34,183363.58,81200,Drive-thru,Cambasover,31,2.99,6.49
1052,349075.61,163852.58,80900,Drive-thru,Prestby,37,4.71,6.95
1053,251852.25,120164.41,74900,Drive-thru,Rockrington,40,4.82,6.18
1054,275001.5,109313.92,79900,Drive-thru,Emmersted,43,9.96,5.98
1055,287182.67,136259.89,79900,Drive-thru,Todden on Beck,49,9.98,6.27
1056,285838.44,152541.34,77900,Drive-thru,Bur-under-Smith,34,3.13,6.96
1057,287380.36,145367.5,75900,Drive-thru,Nortberdown,37,4.96,5.39
1058,361288.67,208463.06,85600,Drive-thru,Tipseycombe,43,2.28,6.17
1059,372992.76,204715.46,83300,Drive-thru,Sudderbrook,43,9.88,6.75
1060,310626.44,218353.37,80600,Drive-thru,Wendlecombe,27,1.69,5.47
1061,183814.69,110338.47,64900,Drive-thru,Abbingbeck,34,2.55,5.06
1062,227972.38,95228.56,76900,Drive-thru,Egbaschester,30,5.22,4.74
1063,197250.79,106521.62,64600,Drive-thru,Blanwang,33,9.81,6.07
1064,307496.88,119974.76,85600,Drive-thru,Braddlethorne,52,7.58,8.07
1065,158466.55,118815.15,66700,Drive-thru,Abglemanslow,16,2.34,3.64
1066,289257.11,132217.65,65700,Drive-thru,Faldendsmith,29,3.5,7.09
1067,361116.55,206236.47,76100,Drive-thru,Alddlebourne,41,2.47,6.94
1068,215907.49,108771.4,62800,Drive-thru,Pemmansside,26,4.68,6.84
1069,333326.5,216933.62,75000,Drive-thru,Egford,29,2.26,4.88
1070,264888.01,129033.88,63100,Drive-thru,Stain on Ditch,34,3.34,6.14
1071,253798.23,114124.16,77400,Drive-thru,Cleregrove,35,3.24,6.39
1072,352640.25,171884.52,78600,Drive-thru,Cammendhall,45,6.12,6.24
1073,299288.85,208801.25,66200,Drive-thru,Pemssmith,31,2.56,5.26
1074,259722.17,156338.69,60300,Drive-thru,Milgrove,42,6.7,4.77
